op,ogl,aa,filled,time
Glyph,opengl,antialiased,filled,0.002812
Glyph,opengl,antialiased,filled,0.00149
Glyph,opengl,antialiased,filled,0.001553
Glyph,opengl,aliased,filled,0.00207
Glyph,opengl,aliased,filled,0.003252
Glyph,opengl,aliased,filled,0.001494
Glyph,software,antialiased,filled,0.073355
Glyph,software,antialiased,filled,0.052684
Glyph,software,aliased,filled,0.052683
Glyph,software,aliased,filled,0.054899
Glyph,opengl,antialiased,open,0.001589
Glyph,opengl,antialiased,open,0.001545
Glyph,opengl,antialiased,open,0.001452
Glyph,opengl,antialiased,open,0.001433
Glyph,opengl,aliased,open,0.001583
Glyph,opengl,aliased,open,0.001452
Glyph,opengl,aliased,open,0.001431
Glyph,software,antialiased,open,0.069659
Glyph,software,antialiased,open,0.056118
Glyph,software,aliased,open,0.056626
Glyph,software,aliased,open,0.056937
Polygon,opengl,antialiased,filled,0.288605
Polygon,opengl,antialiased,filled,0.294641
Polygon,opengl,antialiased,filled,0.27645
Polygon,opengl,antialiased,filled,0.276072
Polygon,opengl,aliased,filled,0.321096
Polygon,opengl,aliased,filled,0.312142
Polygon,opengl,aliased,filled,0.308185
Polygon,opengl,aliased,filled,0.30908
Polygon,software,antialiased,filled,5.64168
Polygon,software,antialiased,filled,4.90716
Polygon,software,aliased,filled,0.354336
Polygon,software,aliased,filled,0.297395
Polygon,opengl,antialiased,open,0.036718
Polygon,opengl,antialiased,open,0.086556
Polygon,opengl,antialiased,open,0.036647
Polygon,opengl,aliased,open,0.06197
Polygon,opengl,aliased,open,0.08843
Polygon,opengl,aliased,open,0.061775
Polygon,software,antialiased,open,3.14897
Polygon,software,antialiased,open,3.11399
Polygon,software,aliased,open,0.128714
Polygon,software,aliased,open,0.105659
Rectangle,opengl,antialiased,filled,0.002983
Rectangle,opengl,antialiased,filled,0.066148
Rectangle,opengl,antialiased,filled,0.002728
Rectangle,opengl,aliased,filled,0.00295
Rectangle,opengl,aliased,filled,0.002679
Rectangle,opengl,aliased,filled,0.003121
Rectangle,software,antialiased,filled,4.441
Rectangle,software,antialiased,filled,4.96937
Rectangle,software,aliased,filled,0.286096
Rectangle,software,aliased,filled,0.264305
Rectangle,opengl,antialiased,open,0.024487
Rectangle,opengl,antialiased,open,0.096701
Rectangle,opengl,antialiased,open,0.025678
Rectangle,opengl,aliased,open,0.044105
Rectangle,opengl,aliased,open,0.069679
Rectangle,opengl,aliased,open,0.045174
Rectangle,software,antialiased,open,2.55325
Rectangle,software,antialiased,open,2.8726
Rectangle,software,aliased,open,0.122349
Rectangle,software,aliased,open,0.068366
Point,opengl,antialiased,open,0.001219
Point,opengl,antialiased,open,0.001407
Point,opengl,antialiased,open,0.001357
Point,opengl,aliased,open,0.001235
Point,opengl,aliased,open,0.001376
Point,opengl,aliased,open,0.052926
Point,software,antialiased,open,0.734382
Point,software,antialiased,open,0.564273
Point,software,aliased,open,0.046363
Point,software,aliased,open,0.003785
Line,opengl,antialiased,open,0.012798
Line,opengl,antialiased,open,0.13706
Line,opengl,antialiased,open,0.012652
Line,opengl,aliased,open,0.022596
Line,opengl,aliased,open,0.082036
Line,opengl,aliased,open,0.022698
